"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         15,           0,          10,           1.2e-06,             1e-07,      -4.350740033,      -1.512989928,      -1.576627331,      0.9060872392,     0.05363161758,       2.244048556
         15,           0,          20,           1.2e-06,             1e-07,      -4.529973827,      -1.620749404,      -1.680435465,      0.7132406782,    -0.05437649101,       0.610602323
         15,           0,          29,           1.2e-06,             1e-07,      -4.634391894,      -1.695092789,       -1.75285174,      0.5844020748,     -0.1327653074,      0.2896803234
         16,           0,           0,           1.3e-06,             1e-07,      -2.245221267,       0.466191263,      0.2491642267,       3.134565259,       2.004507605,       4.178265501
         16,           0,          10,           1.3e-06,             1e-07,      -4.345034711,      -1.507217972,      -1.568177298,       0.911987992,     0.05864775301,       2.203174187
         16,           0,          20,           1.3e-06,             1e-07,      -4.522988855,      -1.614039004,      -1.670612986,      0.7197741006,    -0.04873671107,      0.5786208586
         16,           0,          29,           1.3e-06,             1e-07,      -4.626906127,       -1.68804094,      -1.742294032,      0.5913004408,     -0.1270122373,      0.3029487394
         17,           0,           0,           1.4e-06,             1e-07,      -2.243989394,      0.4672993007,      0.2459473687,       3.136414668,       1.998684966,        4.14492228
         17,           0,          10,           1.4e-06,             1e-07,      -4.339480214,      -1.501744526,      -1.559879247,      0.9176187249,     0.06339168057,       2.163907263
         17,           0,          20,           1.4e-06,             1e-07,      -4.516117636,      -1.607567255,       -1.66000439,       0.726095175,    -0.04345313601,      0.5581937613
         17,           0,          29,           1.4e-06,             1e-07,      -4.619428203,      -1.680975258,      -1.729294205,      0.5984096784,     -0.1216358601,      0.3351742135
         18,           0,           0,           1.5e-06,             1e-07,      -2.242976943,      0.4683235541,      0.2432646139,       3.137900738,       1.993424994,        4.11479422
         18,           0,          10,           1.5e-06,             1e-07,      -4.334252428,      -1.496439352,      -1.551395703,      0.9224528948,     0.06787874384,       2.137849242
         18,           0,          20,           1.5e-06,             1e-07,      -4.509331973,       -1.60122961,      -1.649158309,      0.7323093082,    -0.03849852149,      0.5456131691
         18,           0,          29,           1.5e-06,             1e-07,      -4.611958876,      -1.673944202,      -1.716059902,      0.6056344264,     -0.1166056506,      0.3533597638
         19,           0,           0,           1.6e-06,             1e-07,      -2.242194147,      0.4692306604,      0.2410256494,       3.139009246,       1.988643167,        4.08685518
         19,           0,          10,           1.6e-06,             1e-07,      -4.329024161,      -1.491089978,      -1.542334028,      0.9274722973,     0.07212564688,       2.109455269
         19,           0,          20,           1.6e-06,             1e-07,      -4.502565496,      -1.594590873,       -1.63702116,      0.7386512034,    -0.03384548974,      0.5364018146
         19,           0,          29,           1.6e-06,             1e-07,      -4.604377375,      -1.666190085,      -1.700545383,      0.6134758468,     -0.1118917479,       0.379478029
         20,           0,           0,           1.7e-06,             1e-07,      -2.241630277,      0.4699977076,      0.2391515331,       3.139761006,       1.984296011,       4.062366902
         20,           0,          10,           1.7e-06,             1e-07,      -4.323875863,      -1.485749527,      -1.532511662,      0.9324709896,     0.07614922731,       2.085159766
         20,           0,          20,           1.7e-06,             1e-07,      -4.495720491,      -1.587826218,      -1.623540688,      0.7455202963,    -0.02946759652,      0.5370194721
         20,           0,          29,           1.7e-06,             1e-07,      -4.596513267,      -1.658103763,       -1.68297137,      0.6226956405,     -0.1074653821,      0.4109806724
         21,           0,           0,           1.8e-06,             1e-07,      -2.241262587,      0.4706172965,      0.2375781587,       3.140191668,       1.980293454,       4.040776941
         21,           0,          10,           1.8e-06,             1e-07,      -4.318759984,      -1.480058495,      -1.521203792,      0.9375729188,     0.07996619782,       2.060620138
         21,           0,          20,           1.8e-06,             1e-07,      -4.488759371,      -1.580248127,      -1.607027941,      0.7531021715,    -0.02534033752,       0.554538872
         21,           0,          29,           1.8e-06,             1e-07,      -4.588304959,      -1.648637897,      -1.660954067,      0.6336296273,     -0.1033004839,      0.4591789259
         22,           0,           0,           1.9e-06,             1e-07,      -2.241083905,      0.4710783349,      0.2362472745,         3.1403153,       1.976587173,       4.021211246
         22,           0,          10,           1.9e-06,             1e-07,      -4.313643892,      -1.474134581,      -1.507635745,      0.9429844433,     0.08359255117,       2.043891271
         22,           0,          20,           1.9e-06,             1e-07,      -4.481600341,      -1.572524329,      -1.587758464,      0.7618366636,    -0.02144152604,      0.5862198801
         22,           0,          29,           1.9e-06,             1e-07,      -4.579725435,      -1.639316657,      -1.636508447,      0.6465801729,    -0.09937311653,      0.5168373851
         23,           0,           0,             2e-06,             1e-07,      -2.241112173,      0.4713472594,      0.2351226917,       3.140100948,       1.973140419,       4.003235672
         23,           0,          10,             2e-06,             1e-07,      -4.308521002,        -1.4679907,      -1.493309187,      0.9486841289,     0.08704334474,       2.026123903
         23,           0,          20,             2e-06,             1e-07,      -4.474348915,      -1.564622961,      -1.569223136,      0.7711277983,    -0.01775091413,      0.6178329598
         23,           0,          29,             2e-06,             1e-07,      -4.571105982,      -1.630142279,      -1.615301091,      0.6597186741,    -0.09566175699,      0.5651214917
         24,           0,           0,           2.1e-06,             1e-07,      -2.241366639,      0.4714028474,      0.2341916325,       3.139519653,       1.969974641,       3.987115532
         24,           0,          10,           2.1e-06,             1e-07,      -4.303512257,        -1.4627839,      -1.481492394,      0.9542444147,     0.09033206076,       2.013131544
         24,           0,          20,           2.1e-06,             1e-07,      -4.467620128,      -1.559265271,      -1.558166617,      0.7788470915,    -0.01425053413,      0.6415260398
         24,           0,          29,           2.1e-06,             1e-07,      -4.563757194,      -1.625756666,       -1.60786151,       0.668201249,    -0.09214768988,      0.5867806117
         25,           0,           0,           2.2e-06,             1e-07,      -2.241765725,      0.4712893883,      0.2333931593,       3.138704386,       1.967027394,       3.971463923
         25,           0,          10,           2.2e-06,             1e-07,      -4.298984114,      -1.458862418,      -1.473281248,      0.9583899663,     0.09347100793,       1.993892531
         25,           0,          20,           2.2e-06,             1e-07,      -4.461269679,      -1.554145508,      -1.546393802,      0.7854933908,    -0.01092419545,      0.6587367589
         25,           0,          29,           2.2e-06,             1e-07,      -4.556165911,      -1.619199055,       -1.59190917,      0.6780284919,    -0.08881338938,      0.6188220778
         26,           0,           0,           2.3e-06,             1e-07,      -2.242273286,      0.4710306488,      0.2326910638,       3.137717071,       1.964237477,       3.956248341
         26,           0,          10,           2.3e-06,             1e-07,      -4.294353785,      -1.455375921,       -1.46369642,       0.963210028,     0.09647178429,        1.98012084
