"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          79,      -1.682830821,      0.8745083779,     0.08829793673,       3.694336457,    -0.06085709452,       5.533979247
          0,           0,          80,      -1.695988408,      0.8655956534,     0.09802483704,       3.683654966,    -0.07999196801,       5.521812742
          0,           0,          81,      -1.708605315,      0.8572269622,      0.1071356442,       3.673444344,    -0.09858036579,       5.509140782
          0,           0,          82,      -1.720688277,      0.8493941197,      0.1156845729,        3.66367421,     -0.1166817308,       5.495476096
          0,           0,          83,      -1.732243425,      0.8420859255,      0.1237128093,       3.654317396,     -0.1343544564,       5.480213197
          0,           0,          84,      -1.743277627,      0.8352871413,      0.1312531274,       3.645348831,     -0.1516481371,       5.462689906
          0,           0,          85,      -1.753798362,      0.8289787502,       0.138342475,       3.636745354,      -0.168604789,        5.44250188
          0,           0,          86,      -1.763815498,      0.8231349241,      0.1450124527,       3.628484526,      -0.185266194,       5.420381838
          0,           0,          87,      -1.773341587,      0.8177284668,      0.1512961603,       3.620544301,     -0.2016585006,       5.398428829
          0,           0,          88,       -1.78239252,      0.8127284873,      0.1572028101,       3.612902495,     -0.2178043439,       5.388596899
          0,           0,          89,      -1.790988136,      0.8081012494,      0.1627102591,        3.60553549,     -0.2337124349,       5.380949973
          0,           0,          90,      -1.799149668,      0.8038169986,      0.1678237686,       3.598422855,     -0.2493881479,       5.374696658
          0,           0,          91,      -1.806900777,      0.7998461179,      0.1725715074,       3.591544192,     -0.2648362693,       5.369560957
          0,           0,          92,      -1.814267891,      0.7961588137,      0.1769931995,        3.58487758,       -0.28007492,       5.364437778
          0,           0,          93,      -1.821279493,      0.7927229783,       0.181134922,       3.578399956,     -0.2950880991,       5.358146721
          0,           0,          94,      -1.827965201,       0.789505683,      0.1850423192,       3.572087882,     -0.3098707396,       5.349900439
          0,           0,          95,      -1.834355093,        0.78647522,      0.1887566392,       3.565918122,     -0.3244178133,       5.339399673
          0,           0,          96,      -1.840478233,      0.7836031736,      0.1923148096,       3.559869603,       -0.33872207,       5.326736549
          0,           0,          97,      -1.846362211,      0.7808663226,      0.1957444717,        3.55392393,     -0.3527769247,       5.312256662
          0,           0,          98,      -1.852032849,      0.7782468059,      0.1990573873,       3.548066732,     -0.3665803377,       5.296411842
          0,           0,          99,      -1.857510238,      0.7757323764,      0.2022709064,        3.54228961,     -0.3801268634,       5.279664393
          0,           0,         100,      -1.862811008,      0.7733149053,      0.2053933258,       3.536588335,      -0.393410824,       5.262417667
          0,           0,         101,      -1.867948596,      0.7709887479,      0.2084258152,       3.530962534,     -0.4064274197,       5.244986704
          0,           0,         102,      -1.872933759,       0.768750135,      0.2113654596,       3.525415214,     -0.4191704707,       5.227587769
          0,           0,         103,       -1.87777515,      0.7665964912,      0.2142063918,       3.519950993,     -0.4316355577,        5.21034363
          0,           0,         104,      -1.882479368,      0.7645248147,      0.2169423508,       3.514577201,     -0.4438198917,       5.193286884
          0,           0,         105,      -1.887051958,      0.7625336237,      0.2195673535,       3.509300705,     -0.4557230973,       5.176374324
          0,           0,         106,      -1.891496907,      0.7606198966,      0.2220760404,       3.504130022,     -0.4673473508,       5.159555091
          0,           0,         107,      -1.895817615,      0.7587813695,       0.224463575,       3.499072655,     -0.4786979457,       5.142856637
          0,           0,         108,      -1.900016677,      0.7570152438,      0.2267248702,       3.494135947,     -0.4897807377,       5.126402716
          0,           0,         109,      -1.904095529,      0.7553184611,      0.2288563289,        3.48932788,     -0.5006089658,       5.110351777
          0,           0,         110,      -1.908055448,      0.7536887624,      0.2308513695,       3.484654981,     -0.5111920612,       5.094817771
          0,           0,         111,      -1.911897467,      0.7521205875,      0.2327073438,       3.480122843,     -0.5215589792,       5.079840474
          0,           0,         112,      -1.915627367,      0.7506068678,      0.2344242145,       3.475732758,      -0.531721177,       5.065381558
          0,           0,         113,      -1.919248281,      0.7491454371,      0.2359920201,       3.471488687,     -0.5416786448,       5.051355305
          0,           0,         114,      -1.922759851,      0.7477355653,      0.2374056607,       3.467397071,     -0.5514480482,       5.037517477
          0,           0,         115,      -1.926159449,      0.7463766896,       0.238662941,        3.46346579,     -0.5610384482,       5.023760269
          0,           0,         116,      -1.929444725,      0.7450671082,      0.2397605804,       3.459701852,     -0.5704482562,       5.010381496
          0,           0,         117,       -1.93261254,      0.7438055722,      0.2406974896,       3.456112324,     -0.5796879057,       4.997385353
          0,           0,         118,       -1.93565939,      0.7425908901,      0.2414734606,        3.45270502,     -0.5887661206,       4.984942286
          0,           0,         119,      -1.938582935,      0.7414210552,      0.2420873557,        3.44948538,     -0.5976888608,       4.974355023
          0,           0,         120,      -1.941380201,       0.740295138,      0.2425391079,       3.446459153,     -0.6064629023,       4.964505911
          0,           0,         121,      -1.944048619,      0.7392115672,      0.2428290851,       3.443631747,     -0.6151021078,       4.955034751
