"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          58,      -1.461844526,       1.525339614,       1.709659474,       4.038112534,        2.08763613,       4.815299686
          0,           0,          59,      -1.457510381,       1.535750973,       1.720238065,       4.047845501,       2.080459244,       4.818530757
          0,           0,          60,      -1.439454104,       1.544181606,       1.732683587,       4.054205698,       2.080756248,       4.812175003
          0,           0,          61,       -1.43760892,        1.55135012,       1.738253084,       4.051772494,       2.088262883,       4.795331645
          0,           0,          62,      -1.398694321,       1.559972457,       1.727151241,       4.083963641,       2.084707375,       4.782183669
          0,           0,          63,      -1.410937387,       1.554443276,       1.726432285,       4.085925415,       2.074067044,       4.750793807
          0,           0,          64,      -1.454162737,       1.561163984,       1.750718519,       4.046769168,       2.083446265,       4.768887722
          0,           0,          65,      -1.415490252,       1.581088553,       1.763102606,       4.075874173,       2.079324538,       4.781809083
          0,           0,          66,      -1.384371748,       1.589423123,       1.753265295,       4.098257267,       2.077672911,          4.789503
          0,           0,          67,      -1.435677952,       1.560280867,        1.74246874,       4.060274712,       2.073037706,       4.776192169
          0,           0,          68,      -1.383498283,       1.584439115,       1.749470418,       4.096219758,       2.059685121,       4.755584018
          0,           0,          69,      -1.427840503,       1.588427392,       1.780642704,       4.067229546,       2.065643948,       4.780222827
          0,           0,          70,      -1.407005809,       1.598381191,        1.77383196,       4.086220025,       2.074679934,       4.754300131
          0,           0,          71,      -1.420755314,       1.592928877,       1.782673227,       4.073082279,       2.069231367,       4.752653644
          0,           0,          72,      -1.398623208,       1.593223333,       1.788854145,       4.090982837,       2.073692292,         4.7670662
          0,           0,          73,      -1.407231879,       1.594289636,       1.781741739,       4.080652396,       2.083259946,       4.800759781
          0,           0,          74,      -1.426061486,       1.604558275,       1.796502536,       4.067507068,       2.100740471,        4.77730878
          0,           0,          75,      -1.399261811,       1.601887452,       1.789566388,       4.089662296,       2.097797425,       4.792863432
          0,           0,          76,      -1.384001547,       1.600104934,       1.792290275,       4.103580674,       2.117721415,        4.82334141
          0,           0,          77,      -1.385878966,       1.580542873,       1.779138882,       4.098279992,       2.108553571,       4.805022412
          0,           0,          78,      -1.403940749,       1.592507367,       1.771243771,       4.081019414,       2.113354514,       4.782339497
          0,           0,          79,       -1.43111943,       1.576236283,       1.768415179,       4.058983893,        2.13868736,       4.823468048
          0,           0,          80,      -1.419679216,       1.597025496,        1.78041095,       4.064766822,       2.129339672,        4.80253765
          0,           0,          81,      -1.399269458,       1.599622469,       1.802412335,       4.086550587,       2.140649299,       4.814773862
          0,           0,          82,      -1.400235428,       1.606062578,       1.799795211,       4.085908602,       2.141305369,       4.806208831
          0,           0,          83,      -1.388903974,         1.5895571,       1.797854647,       4.097009405,        2.14255243,       4.803494367
          0,           0,          84,      -1.394186329,       1.598228543,       1.786413602,       4.092473866,       2.168407007,        4.87078393
          0,           0,          85,      -1.395022843,       1.591107893,       1.796690258,       4.086548611,        2.16740076,       4.847138337
          0,           0,          86,      -1.388054556,       1.610092987,        1.79632826,       4.099136475,       2.169774597,       4.832930849
          0,           0,          87,       -1.36875411,        1.59801799,       1.791213311,       4.103098021,       2.170720427,       4.842791386
          0,           0,          88,       -1.38980904,       1.606727005,       1.789797307,       4.093562602,       2.178618185,       4.861452536
          0,           0,          89,      -1.323399534,       1.605937388,       1.798865647,       4.149719848,       2.180555773,       4.803833638
          0,           0,          90,      -1.373728195,       1.597125638,       1.780999446,         4.0977259,       2.176209382,       4.793931555
          0,           0,          91,      -1.408416776,       1.559704153,       1.781372166,       4.063112561,       2.190678512,       4.841544938
          0,           0,          92,      -1.413988276,       1.575537729,       1.776062774,       4.067488335,       2.199785373,       4.813547267
          0,           0,          93,      -1.424507653,       1.565041092,       1.790650011,       4.059322873,       2.202393797,       4.816697464
          0,           0,          94,      -1.426833928,       1.576703621,       1.781267682,       4.055674007,       2.211129556,       4.812834028
          0,           0,          95,      -1.421832069,       1.571818483,       1.791692358,       4.064364336,       2.225790181,       4.820149206
          0,           0,          96,      -1.403637269,       1.594859123,       1.795507812,       4.078385551,       2.224513848,       4.823970402
          0,           0,          97,      -1.404060493,       1.575350741,       1.795296916,       4.063603382,       2.231378283,        4.80647746
          0,           0,          98,      -1.431725014,       1.578704548,       1.772956678,       4.050824796,       2.243593054,       4.835314202
          0,           0,          99,      -1.451760294,       1.550849341,       1.783178663,       4.035609065,       2.250765954,        4.83442426
          0,           0,         100,      -1.435085997,        1.57494014,       1.783598547,       4.044187587,       2.264792548,       4.828239604
          0,           0,         101,      -1.433819205,        1.54940675,       1.775391186,       4.035625467,       2.264897814,       4.825565792
          0,           0,         102,      -1.443849987,       1.563486221,       1.763257288,       4.034665909,       2.274287361,       4.816248679
          0,           0,         103,      -1.447951592,       1.536898028,       1.765230878,       4.038260452,       2.276784939,        4.79381057
