"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      17511,           0,          29,           5.5e-07,             5e-08,       -3.83534079,     -0.9017880133,      -1.205000132,       1.745539782,      0.5594706667,       0.623850654
      17512,           0,           0,             6e-07,             5e-08,      -2.823009806,     -0.2270949272,     -0.5276661139,       2.610832044,       1.433751681,       2.001124714
      17512,           0,          10,             6e-07,             5e-08,       -3.82733108,     -0.8919130643,      -1.195932737,       1.754767088,      0.5684758106,      0.6473183087
      17512,           0,          20,             6e-07,             5e-08,      -3.832126901,     -0.8974912693,      -1.200978202,       1.749423416,      0.5634640097,      0.6288597522
      17512,           0,          29,             6e-07,             5e-08,       -3.83532072,     -0.9017922474,      -1.205036189,       1.745545145,      0.5594713843,      0.6238620415
      17513,           0,           0,           6.5e-07,             5e-08,      -2.822994507,      -0.227048444,     -0.5276808835,       2.610841076,       1.433616646,       2.000618725
      17513,           0,          10,           6.5e-07,             5e-08,      -3.827312445,     -0.8919173369,      -1.195973088,       1.754772168,      0.5684774052,      0.6473528192
      17513,           0,          20,           6.5e-07,             5e-08,      -3.832107456,      -0.897495531,      -1.201018359,       1.749428576,      0.5634656934,      0.6288739809
      17513,           0,          29,           6.5e-07,             5e-08,      -3.835300668,      -0.901796484,      -1.205075837,       1.745550545,      0.5594733098,      0.6238746028
      17514,           0,           0,             7e-07,             5e-08,      -2.822978784,     -0.2270017321,     -0.5276938423,       2.610850448,        1.43348185,       2.000113823
      17514,           0,          10,             7e-07,             5e-08,      -3.827293814,     -0.8919215988,      -1.196011782,       1.754777297,      0.5684800915,      0.6473918022
      17514,           0,          20,             7e-07,             5e-08,      -3.832088003,      -0.897499782,       -1.20105712,       1.749433803,      0.5634684461,      0.6288894362
      17514,           0,          29,             7e-07,             5e-08,      -3.835280599,      -0.901800711,      -1.205114773,        1.74555602,      0.5594762749,      0.6238882713
      17515,           0,           0,           7.5e-07,             5e-08,      -2.822962582,     -0.2269547883,     -0.5277052438,        2.61086019,       1.433347297,       1.999610132
      17515,           0,          10,           7.5e-07,             5e-08,      -3.827275175,     -0.8919258562,      -1.196052222,       1.754782477,      0.5684836918,      0.6474310259
      17515,           0,          20,           7.5e-07,             5e-08,      -3.832068549,     -0.8975040288,      -1.201097657,        1.74943908,      0.5634720919,      0.6289058374
      17515,           0,          29,           7.5e-07,             5e-08,      -3.835260532,     -0.9018049326,       -1.20515493,       1.745561543,      0.5594801124,      0.6239028455
      17516,           0,           0,             8e-07,             5e-08,      -2.822945901,     -0.2269076545,     -0.5277152039,       2.610870273,       1.433212986,       1.999107587
      17516,           0,          10,             8e-07,             5e-08,      -3.827256534,      -0.891930117,      -1.196097173,       1.754787688,      0.5684880464,      0.6474710667
      17516,           0,          20,             8e-07,             5e-08,        -3.8320491,     -0.8975082789,      -1.201142557,       1.749444386,      0.5634764768,      0.6289232286
      17516,           0,          29,             8e-07,             5e-08,       -3.83524046,     -0.9018091577,       -1.20519936,       1.745567104,      0.5594846747,      0.6239181666
      17517,           0,           0,           8.5e-07,             5e-08,      -2.822928762,     -0.2268603858,     -0.5277240007,       2.610880661,       1.433078921,       1.998605837
      17517,           0,          10,           8.5e-07,             5e-08,      -3.827237894,     -0.8919343824,      -1.196146037,       1.754792929,      0.5684930437,       0.647711673
      17517,           0,          20,           8.5e-07,             5e-08,      -3.832029656,     -0.8975125342,      -1.201191318,       1.749449726,       0.563481505,      0.6289423629
      17517,           0,          29,           8.5e-07,             5e-08,      -3.835220385,     -0.9018133883,      -1.205247614,       1.745572703,      0.5594898742,      0.6239342542
      17518,           0,           0,             9e-07,             5e-08,      -2.822911167,     -0.2268129704,     -0.5277317342,        2.61089135,       1.432945103,       1.998126808
      17518,           0,          10,             9e-07,             5e-08,      -3.827219254,     -0.8919386532,      -1.196198028,       1.754798207,      0.5684986158,       0.647661649
      17518,           0,          20,             9e-07,             5e-08,      -3.832010212,      -0.897516795,      -1.201243198,       1.749455109,      0.5634871048,      0.6289641957
