"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
10530, 0.000000000000000e+00, 2.000000000000000e-02, 3.738968412251534e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.320108202104989e+06, 1.000000000000000e-10, 2.642082619147393e+08
10531, 4.514657229472262e-04, 1.998982989300236e-02, 3.734379704766652e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.312889168761247e+06, 1.000000000000000e-10, 2.658812264806479e+08
10532, 9.017910976381969e-04, 1.995926696863415e-02, 3.734604194005517e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.313854599973910e+06, 1.000000000000000e-10, 2.687012543145712e+08
10533, 1.349888021230837e-03, 1.990843278482284e-02, 3.733358329231843e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.311234720386518e+06, 1.000000000000000e-10, 2.732478432386378e+08
10534, 1.794620486109054e-03, 1.983742186716829e-02, 3.732619660143894e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.309506461220402e+06, 1.000000000000000e-10, 2.793007801303303e+08
10535, 2.235021141436741e-03, 1.974719379311706e-02, 3.731525358066790e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.306783278425752e+06, 1.000000000000000e-10, 2.874126647058946e+08
10536, 2.669869016646968e-03, 1.963716159987645e-02, 3.730513882591624e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.304139495394584e+06, 1.000000000000000e-10, 2.976442755290219e+08
10537, 3.098043246235970e-03, 1.950762643482882e-02, 3.729099371910377e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.300561263613406e+06, 1.000000000000000e-10, 3.097443524622052e+08
10538, 3.518872840857099e-03, 1.936011886095013e-02, 3.727489193623237e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.296518847827946e+06, 1.000000000000000e-10, 3.243871943202294e+08
10539, 3.931393297661252e-03, 1.919499806444139e-02, 3.725589435131730e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.291794753849746e+06, 1.000000000000000e-10, 3.425626963819249e+08
10540, 4.334325889467367e-03, 1.901192373984649e-02, 3.723090321977125e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.285728284978116e+06, 1.000000000000000e-10, 3.640152749273440e+08
10541, 4.726952184495833e-03, 1.881200050581737e-02, 3.719595883222226e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.277429702579049e+06, 1.000000000000000e-10, 3.884047041249171e+08
10542, 5.109116937572497e-03, 1.859707673165155e-02, 3.714397910831977e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.265476931476519e+06, 1.000000000000000e-10, 4.030871132873705e+08
10543, 5.486898013188588e-03, 1.837911167657503e-02, 3.708998231122617e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.252738522270853e+06, 1.000000000000000e-10, 4.143022133079874e+08
10544, 5.862183877137016e-03, 1.816184091323646e-02, 3.704058819157022e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.241001247261723e+06, 1.000000000000000e-10, 4.239248434238202e+08
10545, 6.235715063407628e-03, 1.794688996351889e-02, 3.699230585918591e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.229718020275419e+06, 1.000000000000000e-10, 4.353834018647146e+08
10546, 6.606629768558379e-03, 1.773309908083132e-02, 3.694554556234609e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.218840644803332e+06, 1.000000000000000e-10, 4.474988939256763e+08
10547, 6.974670972531440e-03, 1.752034838432390e-02, 3.689632947890662e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.207422475068039e+06, 1.000000000000000e-10, 4.593983187896627e+08
10548, 7.339983878162977e-03, 1.730920380481220e-02, 3.684832672442901e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.196324801987614e+06, 1.000000000000000e-10, 4.712480034237437e+08
10549, 7.702598742575629e-03, 1.710002173088668e-02, 3.679491974769072e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.184079185150511e+06, 1.000000000000000e-10, 4.842749663730837e+08
10550, 8.062095440047889e-03, 1.689236830459481e-02, 3.674549906876690e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.172757449810378e+06, 1.000000000000000e-10, 4.969577458441696e+08
10551, 8.418618264581864e-03, 1.668677619525256e-02, 3.668810844418062e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.159706826734474e+06, 1.000000000000000e-10, 5.113053943609964e+08
10552, 8.771628342522264e-03, 1.648258359117132e-02, 3.663575414225264e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.147718606433063e+06, 1.000000000000000e-10, 5.249733151600673e+08
10553, 9.121393906044760e-03, 1.628051426928311e-02, 3.657332830112650e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.133539674946961e+06, 1.000000000000000e-10, 5.388512281047868e+08
10554, 9.467914854088150e-03, 1.608081611134654e-02, 3.651425774955582e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.120229934452010e+06, 1.000000000000000e-10, 5.532908397796323e+08
10555, 9.811011506030646e-03, 1.588341439124541e-02, 3.644974573164223e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.105662906193776e+06, 1.000000000000000e-10, 5.704268910554631e+08
10556, 1.014991795477067e-02, 1.568720539460645e-02, 3.638376637217281e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.090695569202101e+06, 1.000000000000000e-10, 5.856119625897963e+08
10557, 1.048531225720914e-02, 1.549357508279930e-02, 3.630977601203495e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.074037284188380e+06, 1.000000000000000e-10, 6.022991200713326e+08
10558, 1.081683285531272e-02, 1.530209676797685e-02, 3.623738734044708e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.057631098265965e+06, 1.000000000000000e-10, 6.199219150769175e+08
10559, 1.114427763336426e-02, 1.511260738902330e-02, 3.615731001289660e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.039571215028988e+06, 1.000000000000000e-10, 6.357937252821212e+08
10560, 1.146820054489419e-02, 1.492624078238965e-02, 3.607666678990778e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.021367816953763e+06, 1.000000000000000e-10, 6.553516853781780e+08
10561, 1.178769911359880e-02, 1.474159525002175e-02, 3.599206845395902e+01, 0.000000000000000e+00, 0.000000000000000e+00, 8.002169459719533e+06, 1.000000000000000e-10, 6.743020423275759e+08
10562, 1.210303660910709e-02, 1.455927637186502e-02, 3.589789967323274e+01, 0.000000000000000e+00, 0.000000000000000e+00, 7.980898220891925e+06, 1.000000000000000e-10, 6.929383517014499e+08
