"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         15,           0,          10,             6e-07,             5e-08,      -4.127325739,      -1.389927196,      -1.596890659,       1.321809215,      0.2383854397,       3.924591983
         15,           0,          20,             6e-07,             5e-08,      -4.324608303,      -1.576772755,      -1.770917167,       1.126055916,     0.08931201953,        3.67153414
         15,           0,          29,             6e-07,             5e-08,      -4.453588732,      -1.682667698,      -1.853230785,      0.9920491837,    -0.01222521567,       3.470519483
         16,           0,           0,           6.5e-07,             5e-08,      -2.458912243,      0.2521269405,     0.05991151136,       2.953384097,       1.851096743,       4.186685717
         16,           0,          10,           6.5e-07,             5e-08,      -4.154068767,      -1.404977976,      -1.614248568,       1.286767312,      0.2156430684,       3.864664938
         16,           0,          20,           6.5e-07,             5e-08,      -4.362049934,      -1.589884834,      -1.782738939,       1.076158404,     0.06660441004,       3.616457577
         16,           0,          29,           6.5e-07,             5e-08,      -4.495812992,      -1.694067668,      -1.861977102,      0.9343223378,    -0.03296159401,       3.419993061
         17,           0,           0,             7e-07,             5e-08,      -2.455798163,      0.2543240474,     0.04833378285,       2.957624362,       1.843966534,         4.1357829
         17,           0,          10,             7e-07,             5e-08,       -4.17930183,      -1.418589841,      -1.631844625,       1.251801399,      0.1941135085,       3.815153688
         17,           0,          20,             7e-07,             5e-08,      -4.396821356,      -1.600456746,      -1.795056017,       1.026658936,     0.04589176819,       3.575309549
         17,           0,          29,             7e-07,             5e-08,      -4.532697951,       -1.70172704,      -1.868757676,      0.8803358306,    -0.05121484053,       3.384339637
         18,           0,           0,           7.5e-07,             5e-08,      -2.453004444,      0.2564379062,     0.03775203779,       2.961403496,       1.837602531,       4.096244531
         18,           0,          10,           7.5e-07,             5e-08,      -4.203541371,      -1.429509859,      -1.647169585,       1.216494316,      0.1739956635,       3.778216485
         18,           0,          20,           7.5e-07,             5e-08,      -4.427841673,      -1.607707048,      -1.803310125,       0.979673995,     0.02713895344,       3.545237699
         18,           0,          29,           7.5e-07,             5e-08,      -4.561176961,      -1.705687772,      -1.870918986,      0.8357746873,     -0.0672812587,       3.360110788
         19,           0,           0,             8e-07,             5e-08,      -2.450549097,      0.2584205563,     0.02818359579,       2.964698203,       1.831889117,        4.06643594
         19,           0,          10,             8e-07,             5e-08,       -4.22581782,      -1.437874687,       -1.65912002,        1.18248156,      0.1553547589,       3.752463721
         19,           0,          20,             8e-07,             5e-08,      -4.451585685,      -1.612430616,       -1.80728107,      0.9412769509,     0.01028387145,       3.525367142
         19,           0,          29,             8e-07,             5e-08,      -4.578657185,      -1.707561668,      -1.869901469,      0.8064420813,    -0.08134713516,       3.343788165
         20,           0,           0,           8.5e-07,             5e-08,      -2.448424396,      0.2602532526,     0.01963043738,       2.967521536,       1.826717116,       4.044412012
         20,           0,          10,           8.5e-07,             5e-08,      -4.244466133,      -1.444886732,      -1.668224419,       1.152432541,      0.1381677671,       3.734886453
         20,           0,          20,           8.5e-07,             5e-08,      -4.467331264,       -1.61623443,      -1.808349689,      0.9136836872,   -0.004821010686,       3.512630304
         20,           0,          29,           8.5e-07,             5e-08,       -4.58825561,      -1.708914568,      -1.867169616,      0.7888052655,    -0.09362064798,       3.333812352
         21,           0,           0,             9e-07,             5e-08,      -2.446629034,      0.2619112803,     0.01204309391,       2.969877311,       1.822007621,       4.027181395
         21,           0,          10,             9e-07,             5e-08,      -4.260236958,      -1.451773369,      -1.674502358,       1.125238672,      0.1223672748,       3.722822252
         21,           0,          20,             9e-07,             5e-08,      -4.478446372,      -1.620003249,      -1.807161942,      0.8923164942,     -0.0183100938,       3.500293082
         21,           0,          29,             9e-07,             5e-08,      -4.594470438,      -1.710263159,      -1.863348084,      0.7763220167,      -0.104246906,       3.321216512
         22,           0,           0,           9.5e-07,             5e-08,      -2.445159423,      0.2633921293,    0.005382197731,        2.97177387,       1.817648226,       4.010957735
         22,           0,          10,           9.5e-07,             5e-08,      -4.274253625,      -1.458961816,      -1.677891781,       1.099293315,      0.1078818097,       3.712327983
         22,           0,          20,           9.5e-07,             5e-08,      -4.487163751,      -1.623804143,      -1.804606955,      0.8741517398,    -0.03027891729,       3.492309851
         22,           0,          29,           9.5e-07,             5e-08,      -4.598578759,       -1.71134374,      -1.859179698,      0.7672904544,     -0.1133519113,        3.31299255
         23,           0,           0,             1e-06,             5e-08,      -2.443992515,      0.2647020723,  -0.0004164714007,       2.973246652,       1.813605231,       3.996903151
         23,           0,          10,             1e-06,             5e-08,      -4.286491863,       -1.46615642,      -1.679184927,       1.074971486,     0.09471695443,       3.703434503
         23,           0,          20,             1e-06,             5e-08,      -4.493413804,      -1.626939373,      -1.801670148,      0.8598587509,    -0.04079245172,       3.483463612
         23,           0,          29,             1e-06,             5e-08,      -4.600409318,      -1.711609427,      -1.855157862,      0.7623535128,     -0.1210340342,       3.302465651
         24,           0,           0,          1.05e-06,             5e-08,      -2.443104822,      0.2658517905,   -0.005424416371,       2.974327848,       1.809837794,       3.983531563
         24,           0,          10,          1.05e-06,             5e-08,       -4.29623908,      -1.472662384,      -1.679311482,       1.054013583,     0.08287601895,       3.692573993
         24,           0,          20,          1.05e-06,             5e-08,      -4.496794888,      -1.628883542,      -1.798795859,      0.8508439468,    -0.04994209281,       3.470644999
         24,           0,          29,          1.05e-06,             5e-08,      -4.600019092,      -1.710985856,       -1.85134731,      0.7616692244,     -0.1274376764,       3.287672713
         25,           0,           0,           1.1e-06,             5e-08,         -2.442479,      0.2668463225,   -0.009728531842,       2.975043567,       1.806304807,       3.968463401
         25,           0,          10,           1.1e-06,             5e-08,      -4.303152467,       -1.47806869,       -1.67885966,       1.037766116,     0.07232314252,       3.677219149
         25,           0,          20,           1.1e-06,             5e-08,      -4.497491361,      -1.629803441,      -1.795951843,      0.8472069135,    -0.05785502833,       3.452786307
         25,           0,          29,           1.1e-06,             5e-08,      -4.598024805,      -1.709873972,      -1.847549381,      0.7641406244,     -0.1327117102,       3.270061883
         26,           0,           0,          1.15e-06,             5e-08,      -2.442089653,       0.267698467,    -0.01340439948,       2.975429118,       1.802983775,       3.950485633
         26,           0,          10,          1.15e-06,             5e-08,       -4.30747165,      -1.482223037,      -1.678066311,        1.02643051,     0.06300119093,       3.659399666
         26,           0,          20,          1.15e-06,             5e-08,      -4.496401706,      -1.630031078,      -1.792981389,       0.847370137,    -0.06464892408,       3.437775436
         26,           0,          29,          1.15e-06,             5e-08,      -4.595239377,      -1.708617471,      -1.843632946,      0.7682263363,     -0.1369943702,        3.25461722
         27,           0,           0,           1.2e-06,             5e-08,      -2.441919176,      0.2684119133,    -0.01653299914,       2.975510954,       1.799863159,       3.933593039
         27,           0,          10,           1.2e-06,             5e-08,      -4.309768591,      -1.485350754,      -1.677066205,       1.019279435,     0.05479092897,       3.642111365
         27,           0,          20,           1.2e-06,             5e-08,      -4.494348383,      -1.630025894,      -1.789878214,      0.8496322006,    -0.07045008378,       3.420333339
         27,           0,          29,           1.2e-06,             5e-08,      -4.592161489,      -1.707443529,       -1.83963985,      0.7729149971,     -0.1404047066,       3.237814659
         28,           0,           0,          1.25e-06,             5e-08,      -2.441941783,      0.2689909804,    -0.01918312875,       2.975323101,        1.79691319,       3.917081559
         28,           0,          10,          1.25e-06,             5e-08,       -4.31064613,      -1.487792888,       -1.67596513,       1.015191676,     0.04757515251,       3.622678989
         28,           0,          20,          1.25e-06,             5e-08,      -4.491899967,      -1.630004767,      -1.786746736,      0.8527669275,    -0.07535965317,       3.400492882
         28,           0,          29,          1.25e-06,             5e-08,       -4.58900846,      -1.706318652,      -1.835658115,      0.7777558769,     -0.1430419002,       3.219958897
         29,           0,           0,           1.3e-06,             5e-08,      -2.442142089,      0.2694420055,    -0.02142496388,         2.9748859,       1.794131724,       3.899859914
         29,           0,          10,           1.3e-06,             5e-08,      -4.310681044,      -1.489720447,      -1.674813582,       1.012967354,     0.04124347351,       3.607964706
         29,           0,          20,           1.3e-06,             5e-08,      -4.489251842,      -1.629867562,      -1.783634682,      0.8563470756,    -0.07946317981,       3.388324354
         29,           0,          29,           1.3e-06,             5e-08,      -4.585770195,      -1.705101107,      -1.831715919,      0.7827683263,     -0.1449871932,       3.206585884
         30,           0,           0,          1.35e-06,             5e-08,      -2.442500632,      0.2697730744,    -0.02332068082,       2.974226921,       1.791505062,       3.886818514
         30,           0,          10,          1.35e-06,             5e-08,      -4.310098074,      -1.491285119,      -1.673543776,       1.012138786,     0.03570460008,       3.594044498
         30,           0,          20,          1.35e-06,             5e-08,      -4.486474947,      -1.629645881,      -1.780506733,      0.8602392665,    -0.08283350822,       3.374443154
         30,           0,          29,          1.35e-06,             5e-08,      -4.582482677,      -1.703849473,       -1.82778816,      0.7878865143,     -0.1463099373,       3.192301785
         31,           0,           0,           1.4e-06,             5e-08,       -2.44299753,       0.269994608,    -0.02492646722,       2.973372711,       1.788998665,       3.874044808
         31,           0,          10,           1.4e-06,             5e-08,      -4.309077053,      -1.492613953,      -1.672085267,       1.012337999,     0.03088246294,       3.580682301
         31,           0,          20,           1.4e-06,             5e-08,      -4.483585753,      -1.629354551,      -1.777299513,      0.8644131493,    -0.08555858571,       3.360864498
         31,           0,          29,           1.4e-06,             5e-08,      -4.579149599,      -1.702539333,      -1.823827992,      0.7931036917,     -0.1471024096,       3.178602336
         32,           0,           0,          1.45e-06,             5e-08,      -2.443617351,       0.270111516,    -0.02630016376,       2.972344634,       1.786597662,       3.861312825
         32,           0,          10,          1.45e-06,             5e-08,      -4.307702813,       -1.49375368,      -1.670380238,       1.013407466,     0.02670175195,       3.567647012
         32,           0,          20,          1.45e-06,             5e-08,      -4.480595327,      -1.628985059,      -1.773977057,      0.8688432646,    -0.08771135832,       3.347837967
         32,           0,          29,          1.45e-06,             5e-08,      -4.575787461,      -1.701191622,      -1.819822126,      0.7983827547,     -0.1474303587,       3.165373661
         33,           0,           0,           1.5e-06,             5e-08,      -2.444342888,       0.270133134,    -0.02748579909,       2.971167385,       1.784297431,       3.848750729
         33,           0,          10,           1.5e-06,             5e-08,      -4.306063463,      -1.494720865,      -1.668462788,       1.015141664,     0.02308526926,       3.555087458
